case_id,act_name,section_no_title,section_title,legal_text,case_type,case_facts,case_summary,petitioner,respondent,court_name,judge_name,filing_date,judgment_date,outcome,judgment_reason,citation,state,police_station_or_forum,advocate_name
INDLAW-1011,GST Act,Section 74 - Tax not paid or short paid by reason of fraud,Tax not paid or short paid by reason of fraud,Synthetic summary of Section 74 - Tax not paid or short paid by reason of fraud. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Excepturi amet accusantium quibusdam occaecati corrupti.,"This case concerns Section 74 - Tax not paid or short paid by reason of fraud under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Onveer Pai,Yashoda Shetty,Consumer Disputes Redressal Commission,Krish Lad,2018-06-18,2026-05-22,Convicted,constitutional remedy granted,621 AIR 2015 94,Tamil Nadu,Central Crime Branch,Naksh Dave
INDLAW-1012,Code of Civil Procedure (CPC),Order 7 Rule 11 - Rejection of plaint,Rejection of plaint,Synthetic summary of Order 7 Rule 11 - Rejection of plaint. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Voluptates maxime voluptate dignissimos praesentium explicabo veniam reprehenderit. Voluptas distinctio possimus facilis adipisci magnam itaque assumenda. Natus autem veritatis.,"This case concerns Order 7 Rule 11 - Rejection of plaint under the Code of Civil Procedure (CPC), involving allegations reviewed by the court based on submitted facts and records.",Gunbir Dhar,Jason Banerjee,High Court of Madras,Isha Chanda,2020-11-30,2026-02-19,Settled,labour benefit granted,710 AIR 2014 542,Kerala,Local Police Station,Baljiwan Shenoy
INDLAW-1013,Indian Penal Code (IPC),Section 302 - Murder,Murder,Synthetic summary of Section 302 - Murder. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Consequuntur sed amet nemo autem. Neque qui corrupti sit.,"This case concerns Section 302 - Murder under the Indian Penal Code (IPC), involving allegations reviewed by the court based on submitted facts and records.",Jonathan Tandon,Alexander Chauhan,Consumer Disputes Redressal Commission,Jacob Baral,2019-02-22,2025-07-07,Dismissed,consumer deficiency proved,545 AIR 2005 465,Tamil Nadu,GST Intelligence Unit,Gayathri Krish
INDLAW-1014,Constitution of India,Article 226 - Power of High Courts to issue writs,Power of High Courts to issue writs,Synthetic summary of Article 226 - Power of High Courts to issue writs. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Mollitia quidem assumenda. Officiis nihil pariatur esse culpa corporis accusantium cum. Quia nisi maxime. Nulla architecto at fugit corrupti fuga perspiciatis.,"This case concerns Article 226 - Power of High Courts to issue writs under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Charvi Thakur,Chavvi Mohanty,High Court of Madras,Samuel Iyengar,2023-08-29,2025-06-25,Acquitted,electronic evidence accepted,256 AIR 2011 781,Maharashtra,Local Police Station,Advika Kibe
INDLAW-1015,"Consumer Protection Act, 2019",Section 2(7) - Consumer definition,Consumer definition,Synthetic summary of Section 2(7) - Consumer definition. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Eaque ex explicabo numquam animi quas. Dolor dolorum debitis consequatur error in consequatur.,"This case concerns Section 2(7) - Consumer definition under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Aachal Choudhary,Jasmit Zacharia,Cyber Crime Court,Tanay Bose,2024-12-21,2026-01-13,Allowed,procedural violation,471 AIR 2026 827,Kerala,Cyber Cell,Darpan Gera
INDLAW-1016,Indian Penal Code (IPC),Section 379 - Theft,Theft,Synthetic summary of Section 379 - Theft. This entry is generated for academic and project use only and does not reproduce official statutory text.,Civil Suit,Nihil dolor accusantium at. Voluptas doloribus earum possimus aliquam. Nihil quidem nam perspiciatis dolore.,"This case concerns Section 379 - Theft under the Indian Penal Code (IPC), involving allegations reviewed by the court based on submitted facts and records.",Alka Choudhry,Jackson Sachar,High Court of Madras,Ekiya Swaminathan,2023-10-10,2025-10-12,Pending,procedural violation,878 AIR 2017 785,Maharashtra,Cyber Cell,Pallavi Dutt
INDLAW-1017,Labour Laws,Employees' Provident Funds Act - Contribution provisions,Contribution provisions,Synthetic summary of Employees' Provident Funds Act - Contribution provisions. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Aliquam corrupti dolore debitis temporibus. Praesentium facere natus nihil maiores. Aliquid cumque suscipit optio.,"This case concerns Employees' Provident Funds Act - Contribution provisions under the Labour Laws, involving allegations reviewed by the court based on submitted facts and records.",Yahvi Issac,Yadavi Prabhakar,"District Court, Mumbai",Chakrika Kapur,2021-04-11,2026-05-22,Settled,electronic evidence accepted,652 AIR 2024 748,Karnataka,GST Intelligence Unit,Qushi Toor
INDLAW-1018,Constitution of India,Article 32 - Constitutional remedies,Constitutional remedies,Synthetic summary of Article 32 - Constitutional remedies. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Sapiente molestiae occaecati quas iusto. Aliquam commodi at nam harum inventore voluptatibus recusandae.,"This case concerns Article 32 - Constitutional remedies under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Vedant Sahota,Charita Magar,Cyber Crime Court,Falan Magar,2024-01-12,2025-08-10,Pending,procedural violation,353 AIR 2007 66,Telangana,Central Crime Branch,Kamala Rout
INDLAW-1019,"Consumer Protection Act, 2019",Section 2(47) - Unfair trade practice,Unfair trade practice,Synthetic summary of Section 2(47) - Unfair trade practice. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Molestias impedit optio. Nulla quibusdam quod soluta.,"This case concerns Section 2(47) - Unfair trade practice under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Udarsh Srinivasan,Viraj Master,Supreme Court of India,Vasatika Hari,2025-01-31,2025-11-24,Dismissed,lack of evidence,334 AIR 2002 928,Tamil Nadu,Consumer Forum,Wakeeta Chandra
INDLAW-1020,Code of Criminal Procedure (CrPC),Section 438 - Anticipatory bail,Anticipatory bail,Synthetic summary of Section 438 - Anticipatory bail. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,At magnam laborum. Magni aliquam a voluptatem ut rerum dolore corporis. Totam in error modi aliquam quam expedita.,"This case concerns Section 438 - Anticipatory bail under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Agastya Mutti,Xalak Sehgal,"District Court, Mumbai",Dayamai Menon,2023-11-29,2026-04-12,Pending,electronic evidence accepted,652 AIR 2004 741,Gujarat,Cyber Cell,Anusha Goswami
INDLAW-1021,Labour Laws,Factories Act - Health and safety provisions,Health and safety provisions,Synthetic summary of Factories Act - Health and safety provisions. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Id perspiciatis architecto.,"This case concerns Factories Act - Health and safety provisions under the Labour Laws, involving allegations reviewed by the court based on submitted facts and records.",Brijesh Barad,Manan Oza,High Court of Madras,Faraj Cherian,2019-05-29,2026-05-18,Dismissed,labour benefit granted,462 AIR 2013 421,Gujarat,GST Intelligence Unit,Tanay Puri
INDLAW-1022,Indian Penal Code (IPC),Section 302 - Murder,Murder,Synthetic summary of Section 302 - Murder. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Officiis non nesciunt tempora. Quae iure a tenetur amet eligendi. Iure odit aspernatur eum corrupti illum. Atque alias vel suscipit atque reiciendis deleniti.,"This case concerns Section 302 - Murder under the Indian Penal Code (IPC), involving allegations reviewed by the court based on submitted facts and records.",Saksham Bath,Yoshita Mistry,"Labour Court, Chennai",Gaurang Wadhwa,2021-12-23,2026-04-21,Remanded,procedural violation,354 AIR 2006 195,Gujarat,Cyber Cell,Gautami Bajwa
INDLAW-1023,GST Act,Section 31 - Tax invoice,Tax invoice,Synthetic summary of Section 31 - Tax invoice. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Fugit quibusdam sunt eaque nisi voluptate. Architecto qui cum aliquam. Rerum est eligendi delectus. Modi ex libero voluptatum.,"This case concerns Section 31 - Tax invoice under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Oscar Bhatia,Azad Dara,Cyber Crime Court,Onkar Tailor,2025-04-30,2026-03-02,Convicted,procedural violation,553 AIR 2025 883,Delhi,Central Crime Branch,Indali Panchal
INDLAW-1024,"Consumer Protection Act, 2019",Section 2(7) - Consumer definition,Consumer definition,Synthetic summary of Section 2(7) - Consumer definition. This entry is generated for academic and project use only and does not reproduce official statutory text.,Civil Suit,Velit repellendus dicta distinctio amet illo. Illo fuga sapiente rem ipsum expedita cum nostrum. Beatae velit quae mollitia non.,"This case concerns Section 2(7) - Consumer definition under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Qarin Gour,Chasmum Lad,"District Court, Chennai",Wridesh Karpe,2022-03-25,2025-06-07,Partly Allowed,labour benefit granted,597 AIR 2015 219,West Bengal,Central Crime Branch,Manya Shanker
INDLAW-1025,Code of Civil Procedure (CPC),Section 10 - Stay of suit,Stay of suit,Synthetic summary of Section 10 - Stay of suit. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Sapiente debitis libero ut unde. Sapiente quo eius. Veniam repudiandae optio animi facilis. Iusto tempore explicabo assumenda corporis harum ullam.,"This case concerns Section 10 - Stay of suit under the Code of Civil Procedure (CPC), involving allegations reviewed by the court based on submitted facts and records.",Indrajit Joshi,Irya Ramanathan,"Labour Court, Chennai",Azaan Parmer,2022-11-23,2026-02-18,Acquitted,bail granted on conditions,392 AIR 2013 714,Gujarat,Cyber Cell,Yashawini Gandhi
INDLAW-1026,"Information Technology Act, 2000",Section 66C - Identity theft,Identity theft,Synthetic summary of Section 66C - Identity theft. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Sed libero autem velit. Repellat officiis dolore molestias earum. Consectetur reprehenderit incidunt corporis doloremque.,"This case concerns Section 66C - Identity theft under the Information Technology Act, 2000, involving allegations reviewed by the court based on submitted facts and records.",Anika Chaudry,Jalsa Ramanathan,Supreme Court of India,Akshay Pandey,2019-03-19,2026-04-29,Allowed,tax demand confirmed,158 AIR 2001 599,Gujarat,Local Police Station,Chandresh Deshpande
INDLAW-1027,"Consumer Protection Act, 2019",Section 2(47) - Unfair trade practice,Unfair trade practice,Synthetic summary of Section 2(47) - Unfair trade practice. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Assumenda nobis facilis fugit dicta. Expedita voluptate soluta veritatis cum sequi. Doloremque molestiae neque id iste corrupti optio.,"This case concerns Section 2(47) - Unfair trade practice under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Bhavani Sarraf,Vyanjana Krishna,High Court of Madras,Shivani Dua,2021-04-06,2026-02-25,Partly Allowed,procedural violation,709 AIR 2002 692,Karnataka,Labour Commissioner Office,Tara Buch
INDLAW-1028,Code of Criminal Procedure (CrPC),Section 438 - Anticipatory bail,Anticipatory bail,Synthetic summary of Section 438 - Anticipatory bail. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Commodi consectetur dignissimos quibusdam alias impedit iusto. Reprehenderit quam vitae culpa veniam harum. Nostrum modi quam est.,"This case concerns Section 438 - Anticipatory bail under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Kiaan Baral,Jalsa Acharya,Supreme Court of India,Jyoti Mishra,2019-12-05,2025-07-30,Dismissed,labour benefit granted,773 AIR 2018 579,Telangana,Consumer Forum,Shivansh Badami
INDLAW-1029,"Information Technology Act, 2000",Section 66C - Identity theft,Identity theft,Synthetic summary of Section 66C - Identity theft. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Alias unde itaque impedit repellat.,"This case concerns Section 66C - Identity theft under the Information Technology Act, 2000, involving allegations reviewed by the court based on submitted facts and records.",Bakhshi Natarajan,Jeevika Chacko,"District Court, Mumbai",Vritti Vora,2020-11-28,2025-10-11,Settled,constitutional remedy granted,787 AIR 2020 308,Gujarat,Consumer Forum,Tanish Bhagat
INDLAW-1030,Code of Criminal Procedure (CrPC),Section 41 - Arrest without warrant,Arrest without warrant,Synthetic summary of Section 41 - Arrest without warrant. This entry is generated for academic and project use only and does not reproduce official statutory text.,Cyber Crime Case,Possimus blanditiis id tenetur ut vero. Eos facere mollitia minima blanditiis ipsum earum.,"This case concerns Section 41 - Arrest without warrant under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Manbir Morar,Kashish Hora,High Court of Madras,Arunima Sandal,2024-04-29,2026-05-08,Dismissed,electronic evidence accepted,618 AIR 2008 136,Telangana,Central Crime Branch,Nathan Vala
INDLAW-1031,"Information Technology Act, 2000",Section 66C - Identity theft,Identity theft,Synthetic summary of Section 66C - Identity theft. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Veritatis rem ipsam eaque velit accusantium. Odio commodi amet. Assumenda voluptas accusantium culpa est nam ea.,"This case concerns Section 66C - Identity theft under the Information Technology Act, 2000, involving allegations reviewed by the court based on submitted facts and records.",Varenya Dewan,Meghana Suri,High Court of Delhi,Dakshesh Chaudhari,2025-04-13,2026-04-15,Pending,consumer deficiency proved,726 AIR 2025 670,Tamil Nadu,GST Intelligence Unit,Lavanya Kumar
INDLAW-1032,"Consumer Protection Act, 2019",Section 35 - Complaint before District Commission,Complaint before District Commission,Synthetic summary of Section 35 - Complaint before District Commission. This entry is generated for academic and project use only and does not reproduce official statutory text.,Civil Suit,Enim repellat impedit fugit ad. Optio molestiae consequatur libero odit beatae error suscipit. Nam vero laboriosam officia.,"This case concerns Section 35 - Complaint before District Commission under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Ekansh Sani,Vasana Bath,High Court of Delhi,Pushti Raj,2025-05-09,2026-04-25,Acquitted,procedural violation,209 AIR 2023 567,Maharashtra,Consumer Forum,Bhavini Virk
INDLAW-1033,Constitution of India,Article 226 - Power of High Courts to issue writs,Power of High Courts to issue writs,Synthetic summary of Article 226 - Power of High Courts to issue writs. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Fugit incidunt odit. Iusto totam nam. Nobis veniam nulla excepturi ipsum.,"This case concerns Article 226 - Power of High Courts to issue writs under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Samarth Behl,Radhika Bhatti,Consumer Disputes Redressal Commission,Hitesh Dutt,2018-11-01,2025-08-14,Convicted,consumer deficiency proved,617 AIR 2015 258,Tamil Nadu,Central Crime Branch,Wyatt Palla
INDLAW-1034,GST Act,Section 50 - Interest on delayed payment,Interest on delayed payment,Synthetic summary of Section 50 - Interest on delayed payment. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Sed omnis hic beatae. Ab alias nam.,"This case concerns Section 50 - Interest on delayed payment under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Rudra Dubey,Unni Mallick,Supreme Court of India,Waida Roy,2024-06-22,2025-12-05,Remanded,constitutional remedy granted,752 AIR 2008 166,Gujarat,Local Police Station,Yashodhara Ravi
INDLAW-1035,GST Act,Section 74 - Tax not paid or short paid by reason of fraud,Tax not paid or short paid by reason of fraud,Synthetic summary of Section 74 - Tax not paid or short paid by reason of fraud. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Voluptatibus natus quam. Minus facilis consectetur nostrum hic accusantium tempore. Accusamus nihil ducimus deleniti.,"This case concerns Section 74 - Tax not paid or short paid by reason of fraud under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Nihal Sha,Benjamin Warrior,High Court of Madras,Ayushman Murty,2018-08-15,2025-10-09,Dismissed,constitutional remedy granted,658 AIR 2001 855,Telangana,Local Police Station,Triveni Dube
INDLAW-1036,"Consumer Protection Act, 2019",Section 2(47) - Unfair trade practice,Unfair trade practice,Synthetic summary of Section 2(47) - Unfair trade practice. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Voluptas temporibus necessitatibus accusamus. Voluptatibus architecto itaque veniam cum maxime ex.,"This case concerns Section 2(47) - Unfair trade practice under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Abhimanyu Chaudry,Anita Lad,High Court of Delhi,Waida Solanki,2023-01-26,2025-11-23,Allowed,consumer deficiency proved,473 AIR 2025 996,Tamil Nadu,Consumer Forum,Nisha Zacharia
INDLAW-1037,"Information Technology Act, 2000",Section 66 - Computer related offences,Computer related offences,Synthetic summary of Section 66 - Computer related offences. This entry is generated for academic and project use only and does not reproduce official statutory text.,Civil Suit,Sunt dolor reiciendis doloribus quasi magnam dolore. Expedita sequi optio sunt doloribus autem inventore nam. Rerum ea similique eaque quaerat.,"This case concerns Section 66 - Computer related offences under the Information Technology Act, 2000, involving allegations reviewed by the court based on submitted facts and records.",Reva Sachar,Gautam Venkatesh,Consumer Disputes Redressal Commission,Meghana Pai,2023-04-28,2026-01-15,Settled,constitutional remedy granted,342 AIR 2005 820,Maharashtra,Labour Commissioner Office,Qasim Hans
INDLAW-1038,Indian Penal Code (IPC),Section 379 - Theft,Theft,Synthetic summary of Section 379 - Theft. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Sequi provident dolorum quae quam dolore necessitatibus labore. Pariatur cumque laudantium possimus ratione fugiat.,"This case concerns Section 379 - Theft under the Indian Penal Code (IPC), involving allegations reviewed by the court based on submitted facts and records.",Neelima Shetty,Yauvani Pradhan,"Labour Court, Chennai",Ubika Ganguly,2021-01-25,2025-10-21,Convicted,consumer deficiency proved,263 AIR 2025 719,Delhi,Labour Commissioner Office,Jeet Oommen
INDLAW-1039,Indian Penal Code (IPC),Section 406 - Criminal Breach of Trust,Criminal Breach of Trust,Synthetic summary of Section 406 - Criminal Breach of Trust. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Aut nobis ea eos. Quas libero repellat aspernatur expedita. Nemo odio error tempore totam pariatur.,"This case concerns Section 406 - Criminal Breach of Trust under the Indian Penal Code (IPC), involving allegations reviewed by the court based on submitted facts and records.",Nilima Parsa,Peter Mohan,"District Court, Chennai",Isaac Basu,2019-05-22,2025-11-08,Pending,tax demand confirmed,412 AIR 2026 815,Karnataka,Cyber Cell,Leena Gole
INDLAW-1040,Indian Penal Code (IPC),Section 379 - Theft,Theft,Synthetic summary of Section 379 - Theft. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Cupiditate quas perferendis dolorem pariatur assumenda. Harum voluptate quasi neque nobis ullam cupiditate. Veniam numquam ab.,"This case concerns Section 379 - Theft under the Indian Penal Code (IPC), involving allegations reviewed by the court based on submitted facts and records.",Yahvi Sibal,Hardik Kothari,Consumer Disputes Redressal Commission,Samaksh Madan,2018-11-12,2025-11-06,Acquitted,procedural violation,891 AIR 2008 360,West Bengal,GST Intelligence Unit,Darika Dua
INDLAW-1041,"Consumer Protection Act, 2019",Section 35 - Complaint before District Commission,Complaint before District Commission,Synthetic summary of Section 35 - Complaint before District Commission. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Iste cupiditate suscipit dignissimos quidem quo. Maxime earum temporibus veniam.,"This case concerns Section 35 - Complaint before District Commission under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Teerth Shan,Zinal Dugar,High Court of Madras,Anvi Nagar,2021-09-29,2025-08-22,Acquitted,constitutional remedy granted,694 AIR 2008 40,Delhi,Local Police Station,Arunima Wason
INDLAW-1042,GST Act,Section 50 - Interest on delayed payment,Interest on delayed payment,Synthetic summary of Section 50 - Interest on delayed payment. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Culpa dolorum modi repellendus. Doloremque quae reiciendis iste. Sit similique placeat. Saepe expedita inventore enim nihil sapiente dolor maxime.,"This case concerns Section 50 - Interest on delayed payment under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Ekanta Bail,Sai Dash,"Labour Court, Chennai",Anusha Magar,2019-07-19,2025-10-06,Dismissed,labour benefit granted,690 AIR 2006 261,Tamil Nadu,GST Intelligence Unit,Lakshit Pai
INDLAW-1043,GST Act,Section 16 - Eligibility for input tax credit,Eligibility for input tax credit,Synthetic summary of Section 16 - Eligibility for input tax credit. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Vitae iste aliquid. Magni a libero accusantium praesentium. Molestiae necessitatibus asperiores architecto quis labore magnam.,"This case concerns Section 16 - Eligibility for input tax credit under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Xavier Tak,Kritika Gill,Consumer Disputes Redressal Commission,Krishna Choudhary,2018-12-04,2025-11-25,Settled,procedural violation,780 AIR 2010 639,Telangana,GST Intelligence Unit,Sneha Bhasin
INDLAW-1044,Code of Criminal Procedure (CrPC),Section 154 - Information in cognizable cases,Information in cognizable cases,Synthetic summary of Section 154 - Information in cognizable cases. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Dolor fugit soluta repudiandae modi voluptatem sunt. Excepturi neque sint quo. Repellendus natus consequatur doloribus aliquam culpa voluptate.,"This case concerns Section 154 - Information in cognizable cases under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Rohan Chowdhury,Gaurangi Char,"Labour Court, Chennai",Sanaya Swamy,2020-10-20,2026-01-28,Remanded,labour benefit granted,813 AIR 2009 568,Maharashtra,Cyber Cell,Dominic Sahota
